,Title,Country,Location,Year,Total_Floors,Apart_Floors,Apart_Rooms,Total_Area,Price,Continent,C-Code,Price_category,Time_Period
27511,"3 room apartment 51 m² in Maryina Horka, Belarus",Belarus,"Maryina Horka, Minsk Region, Pukhavichy District, Belarus",1965,2,2,3,51,31500.0,Europe,5,Low price,1950-2000
27512,"1 room apartment 31 m² in Baranavichy, Belarus",Belarus,"Brest Region, Baranavichy, Belarus",1966,5,4,1,31,17500.0,Europe,5,Low price,1950-2000
27515,"2 room apartment 56 m² in Babovicy, Belarus",Belarus,"Babovicy, Homel Region, Babovicki sielski Saviet, Homyel District, Belarus",1980,3,2,2,56,15500.0,Europe,5,Low price,1950-2000
27516,"2 room apartment 37 m² in Brest, Belarus",Belarus,"Brest Region, Brest, Belarus",1958,4,3,2,37,28900.0,Europe,5,Low price,1950-2000
27518,"2 room apartment 50 m² in Homel, Belarus",Belarus,"Homel Region, Homel, Belarus",1972,5,5,2,50,24000.0,Europe,5,Low price,1950-2000
27519,"3 room apartment 63 m² in Orsha, Belarus",Belarus,"Vitsebsk Region, Orsha, Orsha District, Belarus",1949,2,2,3,63,20000.0,Europe,5,Low price,1900-1950
27520,"2 room apartment 58 m² in Vileyka, Belarus",Belarus,"Vileyka, Minsk Region, Vileyka District, Belarus",1992,3,3,2,58,24000.0,Europe,5,Low price,1950-2000
27521,"2 room apartment 55 m² in Malaryta, Belarus",Belarus,"Malaryta, Brest Region, Malaryta District, Belarus",1992,4,4,2,55,25800.0,Europe,5,Low price,1950-2000
27522,"1 room apartment 32 m² in Kobryn, Belarus",Belarus,"Kobryn, Brest Region, Kobryn District, Belarus",1979,5,1,1,32,23500.0,Europe,5,Low price,1950-2000
27523,"1 room apartment 42 m² in Zhodzina, Belarus",Belarus,"Zhodzina, Minsk Region, Belarus",2021,5,3,1,42,24535.0,Europe,5,Low price,2010on
27524,"3 room apartment 73 m² in Slonim, Belarus",Belarus,"Slonim, Hrodna Region, Slonim District, Belarus",1979,5,5,3,73,23500.0,Europe,5,Low price,1950-2000
27525,"2 room apartment 60 m² in Minsk, Belarus",Belarus,"Minsk, Belarus",2003,15,2,2,60,75000.0,Europe,5,Low price,2000-2010
27526,"3 room apartment 62 m² in Minsk, Belarus",Belarus,"Minsk, Belarus",2024,28,18,3,62,82050.0,Europe,5,Low price,2010on
