,title,country,location,building_construction_year,building_total_floors,apartment_floor,apartment_rooms,apartment_total_area,price_in_USD,Continent
63352,"3 room apartment 60 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,6.0,3.0,60.0,150021.0,Asia
63355,"3 room apartment 75 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,15.0,14.0,3.0,75.0,173475.0,Asia
63356,"2 room apartment 59 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,6.0,2.0,59.0,161257.0,Asia
63358,"2 room apartment 51 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,3.0,2.0,51.0,113476.0,Asia
63360,"2 room apartment 75 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",2025,26.0,24.0,3.0,75.0,767748.0,Asia
63362,"3 room apartment 87 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",2026,16.0,12.0,3.0,87.0,375466.0,Asia
63365,"2 room apartment 50 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,18.0,2.0,50.0,140994.0,Asia
63367,"3 room apartment 75 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,16.0,7.0,3.0,75.0,167494.0,Asia
63368,"4 room apartment 82 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,14.0,4.0,82.0,157908.0,Asia
63369,"2 room apartment 53 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,19.0,16.0,2.0,53.0,135416.0,Asia
63371,"2 room apartment 54 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,12.0,2.0,54.0,152626.0,Asia
63372,"2 room apartment 46 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,10.0,3.0,2.0,46.0,121548.0,Asia
63374,"4 room apartment 74 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,17.0,4.0,74.0,213704.0,Asia
63376,"1 room apartment 38 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,17.0,4.0,1.0,38.0,120199.0,Asia
63378,"2 room apartment 55 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,12.0,2.0,55.0,155900.0,Asia
63379,"3 room apartment 61 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,18.0,16.0,3.0,61.0,145001.0,Asia
63381,"4 room apartment 70 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,6.0,4.0,70.0,139156.0,Asia
63382,"4 room apartment 73 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,19.0,11.0,4.0,73.0,149763.0,Asia
